13729,भोट
12582,एमाले
10825,निर्वाचन
8997,नेपाली
6481,मेयर
4788,कांग्रेस
4239,नेपाल
3382,मत
2701,नेकपा
2602,चुनाव
2581,गठबन्धन
2280,भनेर
2265,अध्यक्ष
2211,पार्टी
2110,होला
1942,अनि
1737,स्थानीय
1705,आज
1671,नेता
1614,माओवादी
1567,काम
1247,काङ्ग्रेस
1169,अहिले
1132,कति
1112,भयो
1092,भन्दै
1058,दल
1026,रे
972,एउटा
945,मात्रै
941,गर्दा
935,राप्रपा
876,काँग्रेस
860,आयोग
792,एमालेको
788,चुनावमा
783,एमालेले
727,सरकार
680,ओली
662,पार्टीको
631,अगाडि
561,कार्यकर्ता
534,एमा
530,राजनीतिक
483,रहेछ
433,प्रवेश
246,आरोप
223,काङ्रेस
207,प्रतिशत
195,माओबादी
