13756,भोट
11242,निर्वाचन
6577,मेयर
6480,उम्मेदवारी
4807,स्थानीय
3757,मत
3655,उम्मेदवार
3015,चुनाव
2765,मतदान
2363,पार्टी
2139,स्वतन्त्र
2135,दिन
1946,तह
1801,हजार
1751,आज
1583,बालेन
1580,काम
1466,भयो
1368,आयोगले
1300,दिने
1262,काठमाडौं
1216,दल
1204,अहिले
1144,हैन
1140,कति
1120,हाल्न
1120,भन्दै
1076,मात्रै
1057,एउटा
925,निर्वाचनमा
922,स्थापित
902,मतदाता
872,आयोग
850,मान्छे
847,तहको
843,जनताले
821,चुनावमा
811,केशव
792,जनप्रतिनिधि
786,हाल्ने
760,दिएको
734,कुन
716,पार्टीको
711,लाख
706,सिर्जना
658,आचारसंहिता
624,लौरो
619,आयोगको
603,मतपत्र
545,चिन्ह
